F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0  3123  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  1054  3175  3123  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  1054  3176  3175  0  80   0 -  5135 n_tty_ pts/11   00:00:00 bash
0 S  6920  3918 29659  0  80   0 - 14777 poll_s pts/39   00:00:02 vi
1 S  6183  5348     1  0  80   0 -   503 pause  ?        00:00:00 a.out
1 S  6183  5349     1  0  80   0 -   503 pause  ?        00:00:00 a.out
1 S  6183  5383     1  0  80   0 -   503 pause  ?        00:00:00 a.out
1 S  6183  5384     1  0  80   0 -   503 pause  ?        00:00:00 a.out
0 S  3777  5866  9341  0  80   0 -  1361 n_tty_ pts/14   00:00:00 joe
1 S  6183  6022     1  0  80   0 -   503 pause  ?        00:00:00 a.out
4 S     0  6157  1602  0  80   0 -  7407 poll_s ?        00:00:00 sshd
5 S  1000  6184  6157  0  80   0 -  7407 poll_s ?        00:00:00 sshd
0 S  1000  6185  6184  0  80   0 -  2953 n_tty_ pts/22   00:00:00 bash
1 S  6183  6614     1  0  80   0 -   503 pause  ?        00:00:00 a.out
1 S  6183  6615     1  0  80   0 -   503 pause  ?        00:00:00 a.out
5 S     0  6942   492  0  80   0 -   880 ep_pol ?        00:00:07 udevd
1 S     0  6943     2  0  60 -20 -     0 rescue ?        00:00:00 xfs_mru_cache
1 S     0  6944     2  0  60 -20 -     0 rescue ?        00:00:00 xfslogd
1 S     0  6945     2  0  60 -20 -     0 rescue ?        00:00:00 xfsdatad
1 S     0  6946     2  0  60 -20 -     0 rescue ?        00:00:00 xfsconvertd
5 S     0  6949   492  0  80   0 -   880 ep_pol ?        00:00:00 udevd
1 S     0  6950     2  0  80   0 -     0 jfsIOW ?        00:00:00 jfsIO
1 S     0  6951     2  0  80   0 -     0 jfs_la ?        00:00:00 jfsCommit
1 S     0  6952     2  0  80   0 -     0 jfs_la ?        00:00:00 jfsCommit
1 S     0  6953     2  0  80   0 -     0 jfs_la ?        00:00:00 jfsCommit
1 S     0  6954     2  0  80   0 -     0 jfs_sy ?        00:00:00 jfsSync
4 S     0  6965  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  3312  6992  6965  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  3312  6993  6992  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0  7070  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  8110  7114  7070  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  8110  7115  7114  0  80   0 -  5992 wait   pts/2    00:00:00 bash
0 S  7496  7583 27865  0  80   0 - 14868 poll_s pts/4    00:00:14 vim
1 S     0  7916     2  0  80   0 -     0 worker ?        00:00:00 kworker/u:1
1 S     0  8299     2  0  80   0 -     0 worker ?        00:00:00 kworker/1:2
1 S     0  8389     2  0  80   0 -     0 worker ?        00:00:00 kworker/2:1
4 S     0  8678  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  7739  8739  8678  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7739  8740  8739  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0  8813  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7937  8844  8813  0  80   0 -  7918 poll_s ?        00:00:00 sshd
