F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0  4339  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  3312  4366  4339  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  3312  4367  4366  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0  4439  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  3312  4466  4439  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  3312  4467  4466  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
0 S  3510  4501 32152  0  80   0 -   505 n_tty_ pts/38   00:00:00 client
0 S  8015  4502 31378  0  80   0 - 14766 poll_s pts/33   00:00:00 vi
4 S     0  4511  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  6451  4542  4511  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  6451  4543  4542  0  80   0 -  5995 wait   pts/27   00:00:00 bash
0 S  6451  4786  4543  0  80   0 -  1463 n_tty_ pts/27   00:00:00 pico
4 S     0  4860  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
1 S     0  4864     2  0  80   0 -     0 worker ?        00:00:00 kworker/2:1
5 S  7763  4893  4860  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7763  4894  4893  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
0 S  8083  4984 31090  0  80   0 -  1298 n_tty_ pts/21   00:00:00 pico
4 S     0  4985  1602  0  80   0 -  7394 poll_s ?        00:00:00 sshd
5 S  3346  5016  4985  0  80   0 -  7394 poll_s ?        00:00:00 sshd
0 S  3346  5017  5016  3  80   0 -  5126 n_tty_ pts/40   00:00:00 bash
0 R  3312  5151     1  0  80   0 -  1179 -      pts/37   00:00:00 ps
1 Z  3312  5152  5151  0  80   0 -     0 exit   pts/37   00:00:00 a.out <defunct>
1 S  6183  5348     1  0  80   0 -   503 pause  ?        00:00:00 a.out
1 S  6183  5349     1  0  80   0 -   503 pause  ?        00:00:00 a.out
1 S  6183  5383     1  0  80   0 -   503 pause  ?        00:00:00 a.out
1 S  6183  5384     1  0  80   0 -   503 pause  ?        00:00:00 a.out
1 S  6183  6022     1  0  80   0 -   503 pause  ?        00:00:00 a.out
1 S  6183  6614     1  0  80   0 -   503 pause  ?        00:00:00 a.out
1 S  6183  6615     1  0  80   0 -   503 pause  ?        00:00:00 a.out
5 S     0  6942   492  0  80   0 -   880 ep_pol ?        00:00:07 udevd
1 S     0  6943     2  0  60 -20 -     0 rescue ?        00:00:00 xfs_mru_cache
1 S     0  6944     2  0  60 -20 -     0 rescue ?        00:00:00 xfslogd
1 S     0  6945     2  0  60 -20 -     0 rescue ?        00:00:00 xfsdatad
1 S     0  6946     2  0  60 -20 -     0 rescue ?        00:00:00 xfsconvertd
5 S     0  6949   492  0  80   0 -   880 ep_pol ?        00:00:00 udevd
1 S     0  6950     2  0  80   0 -     0 jfsIOW ?        00:00:00 jfsIO
1 S     0  6951     2  0  80   0 -     0 jfs_la ?        00:00:00 jfsCommit
1 S     0  6952     2  0  80   0 -     0 jfs_la ?        00:00:00 jfsCommit
1 S     0  6953     2  0  80   0 -     0 jfs_la ?        00:00:00 jfsCommit
1 S     0  6954     2  0  80   0 -     0 jfs_sy ?        00:00:00 jfsSync
0 S  7496  7583 27865  0  80   0 - 14868 poll_s pts/4    00:00:14 vim
1 S     0  7916     2  0  80   0 -     0 worker ?        00:00:00 kworker/u:1
1 S     0 11398     2  0  80   0 -     0 bdi_wr ?        00:00:00 flush-8:0
1 S  7496 12634     1  0  80   0 -  4951 poll_s ?        00:00:15 screen
0 S  7496 12635 12634  0  80   0 -  5199 n_tty_ pts/19   00:00:00 bash
1 S     0 13754     2  0  80   0 -     0 worker ?        00:01:10 kworker/u:2
4 S     0 13769  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  4327 13805 13769  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  4327 13806 13805  0  80   0 -  5994 n_tty_ pts/26   00:00:00 bash
4 S     0 14643  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  7751 14670 14643  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7751 14671 14670  0  80   0 -  5993 wait   pts/32   00:00:00 bash
0 S  7751 15183 14671  0  80   0 - 14760 poll_s pts/32   00:00:00 vim
4 S     0 15871  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  3572 15902 15871  0  80   0 -  7910 poll_s ?        00:00:01 sshd
0 S  3572 15903 15902  0  80   0 -  3912 poll_s ?        00:00:00 sftp-server
1 S  3879 17129     1  0  80   0 -   912 poll_s ?        00:18:47 tmux
0 S  3879 17130 17129  0  80   0 -  5172 n_tty_ pts/63   00:00:00 zsh
1 S  6183 17687     1  0  80   0 -   504 pause  ?        00:00:00 fork5A
1 S  6183 17688     1  0  80   0 -   504 pause  ?        00:00:00 fork5A
4 S     0 18076  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  7751 18103 18076  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7751 18104 18103  0  80   0 -  5993 wait   pts/7    00:00:00 bash
4 S     0 18352  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  4712 18394 18352  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  4712 18395 18394  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
4 S     0 18406  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  4712 18439 18406  0  80   0 -  7914 poll_s ?        00:00:02 sshd
0 S  4712 18440 18439  0  80   0 -  6005 n_tty_ pts/5    00:00:00 bash
