F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S     0  5911     2  0  80   0 -     0 jfs_sy ?        00:00:00 jfsSync
1 S     0  6152     2  0  80   0 -     0 svc_re ?        00:00:00 nfsv4.0-svc
1 S     0  8144     2  0  80   0 -     0 bdi_wr ?        00:00:00 flush-8:0
4 S     0  8433  1443  0  80   0 -  7914 poll_s ?        00:00:00 sshd
4 S     0  8435  1443  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  8240  8493  8435  0  80   0 -  7914 poll_s ?        00:00:03 sshd
5 S  8240  8494  8433  0  80   0 -  7914 poll_s ?        00:00:03 sshd
4 S     0  8495  1443  0  80   0 -  7914 poll_s ?        00:00:00 sshd
4 S     0  8496  1443  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  8240  8550  8495  0  80   0 -  7914 poll_s ?        00:00:03 sshd
5 S  8240  8551  8496  0  80   0 -  7914 poll_s ?        00:00:03 sshd
4 S     0  8836  1443  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  5787  8887  8836  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  5787  8888  8887  0  80   0 -  5987 wait   pts/5    00:00:00 bash
4 S     0  8997  1443  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  4868  9024  8997  0  80   0 -  7910 poll_s ?        00:00:05 sshd
4 S     0 10642  1443  0  80   0 -  7910 poll_s ?        00:00:00 sshd
1 S  3879 10917     1  0  80   0 -   912 poll_s ?        00:03:18 tmux
0 S  3879 10918 10917  0  80   0 -  5055 n_tty_ pts/6    00:00:00 zsh
5 S  5399 10943 10642  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  5399 10944 10943  0  80   0 -  5987 wait   pts/7    00:00:00 bash
4 S     0 11405  1443  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  7792 11440 11405  0  80   0 -  7910 poll_s ?        00:00:01 sshd
0 S  7792 11441 11440  0  80   0 -  5989 wait   pts/0    00:00:00 bash
4 S     0 12081  1443  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  7608 12120 12081  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7608 12121 12120  0  80   0 -  5996 n_tty_ pts/13   00:00:00 bash
4 S     0 12463  1443  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  5399 12497 12463  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  5399 12498 12497  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
1 S     0 12511     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:1
1 S     0 12719     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:2
1 S     0 12782     2  0  80   0 -     0 bdi_wr ?        00:00:00 flush-0:25
1 S     0 12788     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:0
4 S     0 12793  1443  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  7721 12829 12793  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  7721 12830 12829  0  80   0 -  6002 n_tty_ pts/4    00:00:00 bash
0 S  7792 13100 11441  0  80   0 -  1492 n_tty_ pts/0    00:00:00 pico
0 S  5787 13106  8888  0  80   0 -  1361 n_tty_ pts/5    00:00:00 pico
0 S  5399 13117 10944  0  80   0 -   501 wait   pts/7    00:00:00 a.out
0 R  5399 13118 13117  0  80   0 -  1176 -      pts/7    00:00:00 ps
4 S     0 13722  1443  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  5399 13749 13722  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  5399 13750 13749  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
1 S     0 13890     2  0  80   0 -     0 worker ?        00:00:03 kworker/2:2
4 S     0 14393  1443  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  4868 14420 14393  0  80   0 -  7910 poll_s ?        00:00:01 sshd
0 S  4868 14421 14420  0  80   0 -  3881 poll_s ?        00:00:00 sftp-server
4 S     0 16666  1443  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  6678 16697 16666  0  80   0 -  7910 poll_s ?        00:00:03 sshd
0 S  6678 16698 16697  0  80   0 -  5985 n_tty_ pts/3    00:00:00 bash
5 S     0 19541     1  0  90  10 -  8203 poll_s ?        00:11:35 python
4 S     0 27009  1443  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  3124 27036 27009  0  80   0 -  7910 poll_s ?        00:00:01 sshd
0 S  3124 27037 27036  0  80   0 -  5987 n_tty_ pts/16   00:00:00 bash
1 S     0 27945     2  0  80   0 -     0 worker ?        00:00:43 kworker/u:2
4 S     0 30404  1443  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  5493 30438 30404  0  80   0 -  7910 poll_s ?        00:00:00 sshd
0 S  5493 30439 30438  0  80   0 -  5996 n_tty_ pts/2    00:00:00 bash
1 S     0 32170     2  0  80   0 -     0 worker ?        00:00:40 kworker/2:0
